RIVAL,PLAY #,HF,ODK,SERIES,DN,DIST,YARD LN,OFF FORM,OFF STR,MOTION,MOTION DIR,OFF PLAY,PLAY TYPE,RESULT,PI,PC,GN/LS,PLAY DIR,PASS ZONE,COVERAGE,PASSER_Jersey,PASSER_Name,RECEIVER_Jersey,RECEIVER_Name,INTERCEPTED BY_Jersey,INTERCEPTED BY_Name,KEY PLAYER_Jersey,KEY PLAYER_Name,TACKLER1_Jersey,TACKLER1_Name,BLZ_Jersey,BLZ_Name,RUSHER_Jersey,RUSHER_Name
NZL,53,2,D,6,3,14,-11,TIGHT,R,,,,Pass,Complete,1,1,7,L,1,DALLAS,,,,,,,,,13,Cris Gómez,7,Elvira Núñez Calzado,,
NZL,54,2,D,6,4,7,-18,SLOT,R,,,,Pass,1st DN,1,1,12,L,1,DALLAS,,,,,,,,,2,Victoria Sanchez Segarra,7,Elvira Núñez Calzado,,
NZL,55,2,D,6,1,20,20,TIGHT,R,,,,Pass,Complete,1,1,7,R,1,DALLAS,,,,,,,,,8,Ana Leal,1,María Vidal,,
NZL,56,2,D,6,2,13,13,SLOT,R,,,,Pass,Incomplete,1,0,0,R,2,DALLAS,,,,,,,,,,,1,María Vidal,,
NZL,57,2,D,6,3,13,13,SLOT,L,,,,Pass,Interception,1,0,0,L,1,DALLAS,,,,,8,Ana Leal,,,,,7,Elvira Núñez Calzado,,
NZL,58,2,O,6,1,19,-6,DOBLE TIGHT,R,,,,Pass,Incomplete,1,0,0,R,2,,10,Monica Rafecas,,,,,,,,,,,,
NZL,59,2,O,6,2,19,-6,DOBLE TIGHT,R,,,,Run,Rush,,,13,L,,,,,,,,,,,,,,,4,Maria del Mar
NZL,60,2,O,6,3,6,-19,SLOT,L,,,,Pass,1st DN,1,1,16,R,6,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
NZL,61,2,O,6,1,15,15,SLOT,R,,,,Pass,"Complete, TD",1,1,15,R,9,,10,Monica Rafecas,3,Violeta Alexandra Wiksten,,,,,,,,,,
NZL,62,2,K,6,0,5,5,SLOT,R,,,,Extra Pt.,No Good,1,0,0,R,6,,10,Monica Rafecas,,,,,,,,,,,,
NZL,63,2,D,7,1,20,-5,BUNCH,L,,,,Pass,Interception,1,0,0,R,9,DALLAS,,,,,6,Laia Girona,,,,,1,María Vidal,,
NZL,64,2,O,7,1,20,20,SLOT,R,,,,Pass,Complete,1,1,12,L,1,,10,Monica Rafecas,7,Elvira Núñez Calzado,,,,,,,,,,
