RIVAL,PLAY #,HF,ODK,SERIES,DN,DIST,YARD LN,OFF FORM,OFF STR,MOTION,MOTION DIR,OFF PLAY,PLAY TYPE,RESULT,PI,PC,GN/LS,PLAY DIR,PASS ZONE,COVERAGE,PASSER_Jersey,PASSER_Name,RECEIVER_Jersey,RECEIVER_Name,INTERCEPTED BY_Jersey,INTERCEPTED BY_Name,KEY PLAYER_Jersey,KEY PLAYER_Name,TACKLER1_Jersey,TACKLER1_Name,BLZ_Jersey,BLZ_Name,RUSHER_Jersey,RUSHER_Name
SUI,30,1,O,3,1,20,-5,ISO,L,,,,Pass,Complete,1,1,18,R,3,,10,Monica Rafecas,11,Emma García,,,,,,,,,,
SUI,31,1,O,3,2,2,-23,SLOT TIGHT,R,,,,Pass,Incomplete,1,0,0,L,7,,4,Maria del Mar,,,,,,,,,,,,
SUI,32,1,O,3,3,2,-23,SLOT,L,,,,Pass,1st DN,1,1,4,R,3,,10,Monica Rafecas,3,Violeta Alexandra Wiksten,,,,,,,,,,
SUI,33,1,O,3,1,23,23,SLOT,L,,,,Pass,Incomplete,1,0,0,R,9,,10,Monica Rafecas,,,,,,,,,,,,
SUI,34,1,O,3,2,23,23,SLOT TIGHT,L,,,,Pass,Complete,1,1,18,R,2,,10,Monica Rafecas,4,Maria del Mar,,,,,,,,,,
SUI,35,1,O,3,1,5,5,SLOT,R,,,,Pass,"Complete, TD",1,1,5,R,3,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
SUI,36,1,K,3,0,5,6,SLOT,R,,,,Extra Pt.,Good,1,1,5,R,3,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
SUI,37,1,D,4,1,20,-5,SLOT,L,,,QUICK PITCH,Pass,Complete,1,1,4,L,2,REGULAR,,,,,,,,,5,Estefanía Sastre Lois,1,María Vidal,,
SUI,38,1,D,4,2,16,-9,SLOT,L,,,,Pass,1st DN,1,1,18,L,2,DALLAS,,,,,,,,,13,Cris Gómez,1,María Vidal,,
SUI,39,1,D,4,1,23,23,SLOT,L,,,SPECIAL GADCHET,Run,Rush,,,4,R,,DALLAS,,,,,,,,,13,Cris Gómez,7,Elvira Núñez Calzado,,
SUI,40,1,D,4,2,19,19,SLOT,L,,,FLOOD,Pass,Complete,1,1,7,R,1,DALLAS,,,,,,,,,8,Ana Leal,7,Elvira Núñez Calzado,,
SUI,41,1,D,4,3,12,12,SLOT,L,,,GANCHOS Y-GO,Pass,Complete,1,1,6,L,3,DALLAS,,,,,,,,,6,Laia Girona,7,Elvira Núñez Calzado,,
SUI,42,1,D,4,4,6,6,SLOT,L,,,,Pass,Incomplete,1,0,0,R,9,REGULAR,,,,,,,,,,,1,María Vidal,,
SUI,43,2,O,4,1,20,-5,SLOT,R,,,,Pass,Complete,1,1,17,L,2,,10,Monica Rafecas,3,Violeta Alexandra Wiksten,,,,,,,,,,
SUI,44,2,O,4,1,3,-22,SLOT,R,,,,Pass,1st DN,1,1,26,L,8,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
SUI,45,2,O,4,1,2,2,SLOT,L,,,,Pass,"Complete, TD",1,1,2,L,2,,10,Monica Rafecas,11,Emma García,,,,,,,,,,
SUI,46,2,K,4,0,5,5,ISO,L,,,,Extra Pt.,No Good,1,0,0,R,3,,10,Monica Rafecas,,,,,,,,,,,,
SUI,47,2,D,5,1,20,-5,SLOT,L,,,FLOOD,Pass,Complete,1,1,9,L,1,REGULAR,,,,,,,,,8,Ana Leal,1,María Vidal,,
SUI,48,2,D,5,2,11,-14,SLOT,L,,,X-RIZO,Pass,1st DN,1,1,17,L,7,DALLAS,,,,,,,,,5,Estefanía Sastre Lois,7,Elvira Núñez Calzado,,
SUI,49,2,D,5,1,19,19,SLOT,L,,,SMASH,Pass,Batted Down,1,0,0,L,8,DENVER,,,,,,,6,Laia Girona,,,7,Elvira Núñez Calzado,,
SUI,50,2,D,5,2,19,19,SLOT,L,,,SPECIAL GADCHET,Run,Rush,,,7,R,,KANSAS,,,,,,,,,,,,,,
SUI,51,2,D,5,3,12,12,SLOT,L,,,SPECIAL GADCHET,Pass,Complete,1,1,4,L,1,DALLAS,,,,,,,,,8,Ana Leal,1,María Vidal,,
SUI,52,2,D,5,4,8,8,SLOT,L,,,C-BACK,Pass,"Complete, TD",1,1,3,L,1,GOAL LINE,,,,,,,,,,,7,Elvira Núñez Calzado,,
SUI,53,2,K,5,0,5,5,SLOT,L,,,SMASH CROSS,Extra Pt. Block,No Good,1,0,0,R,,GOAL LINE,,,,,,,,,,,7,Elvira Núñez Calzado,,
SUI,54,2,O,5,1,20,-5,ISO,L,,,,Pass,Batted Down,1,0,0,R,2,,10,Monica Rafecas,,,,,,,,,,,,
SUI,55,2,O,5,2,20,-5,SLOT,L,,,,Pass,Complete,1,1,12,R,3,,10,Monica Rafecas,4,Maria del Mar,,,,,,,,,,
SUI,56,2,O,5,3,8,-17,SLOT,L,,,,Pass,1st DN,1,1,25,R,9,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
SUI,57,2,O,5,1,8,8,DOBLE TIGHT,R,,,,Pass,Incomplete,1,0,0,R,3,,10,Monica Rafecas,,,,,,,,,,,,
SUI,58,2,O,5,2,8,8,BUNCH,R,,,,Pass,"Complete, TD",1,1,8,R,6,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
SUI,59,2,K,5,0,5,5,SLOT,R,,,,Extra Pt.,No Good,1,0,0,R,6,,10,Monica Rafecas,,,,,,,,,,,,
SUI,60,2,D,6,1,20,-5,SLOT,R,,,FLOOD,Pass,Complete,1,1,6,R,3,REGULAR,,,,,,,,,8,Ana Leal,1,María Vidal,,
SUI,61,2,D,6,2,14,-11,SLOT,L,,,Y-BACK,Pass,Complete,1,1,6,R,3,DALLAS,,,,,,,,,13,Cris Gómez,1,María Vidal,,
SUI,62,2,D,6,3,8,-17,SLOT,L,,,SPECIAL GADCHET,Pass,Incomplete,1,0,0,L,8,DALLAS,,,,,,,,,,,7,Elvira Núñez Calzado,,
SUI,63,2,D,6,4,8,-17,SLOT,L,,,,Pass,1st DN,1,1,22,R,6,REGULAR,,,,,,,,,5,Estefanía Sastre Lois,7,Elvira Núñez Calzado,,
SUI,64,2,D,6,1,11,11,SLOT,L,,,SPECIAL GADCHET,Run,Rush,,,2,L,,KANSAS,,,,,,,,,8,Ana Leal,7,Elvira Núñez Calzado,,
SUI,65,2,D,6,2,9,9,SLOT,L,,,DOBLE POST,Pass,"Complete, TD",1,1,9,L,5,REGULAR,,,,,,,,,,,1,María Vidal,,
SUI,66,2,K,6,0,5,5,SLOT,L,,,,Extra Pt. Block,No Good,1,0,0,L,2,GOAL LINE,,,,,13,Cris Gómez,,,,,1,María Vidal,,
SUI,67,2,O,6,1,20,-5,SLOT,R,,,,Pass,Penalty,,,10,L,7,,10,Monica Rafecas,,,,,,,,,,,,
SUI,68,2,O,6,1,10,-15,ISO,L,,,,Pass,Incomplete,1,0,0,L,3,,10,Monica Rafecas,,,,,,,,,,,,
SUI,69,2,O,6,2,10,-15,SLOT,L,,,,Pass,Complete,1,1,9,L,3,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
SUI,70,2,O,6,3,1,-24,SLOT,L,,,,Pass,1st DN,1,1,11,L,2,,10,Monica Rafecas,11,Emma García,,,,,,,,,,
SUI,71,2,O,6,1,15,15,SLOT,L,,,,Pass,"Complete, TD",1,1,15,R,9,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
SUI,72,2,K,6,0,5,5,BUNCH,R,,,,Extra Pt.,Good,1,1,5,R,3,,10,Monica Rafecas,11,Emma García,,,,,,,,,,
SUI,73,2,D,7,1,20,-5,SLOT,L,,,GANCHOS SMASH,Pass,Complete,1,1,6,L,1,REGULAR,,,,,,,,,8,Ana Leal,7,Elvira Núñez Calzado,,
SUI,74,2,D,7,2,14,-11,SLOT,L,,,SPECIAL GADCHET,Run,Rush,,,4,R,,DALLAS,,,,,,,,,13,Cris Gómez,7,Elvira Núñez Calzado,,
SUI,75,2,D,7,3,10,-15,SLOT,L,,,SPECIAL GADCHET,Pass,Complete,1,1,4,R,1,DALLAS,,,,,,,,,8,Ana Leal,1,María Vidal,,
SUI,76,2,D,7,4,6,-19,SLOT,L,,,DOBLE POST,Pass,Batted Down,1,0,0,R,6,SPARTA,,,,,,,6,Laia Girona,,,1,María Vidal,,
SUI,77,2,O,7,1,20,-5,SLOT,L,,,,Pass,Penalty,,,-2,L,1,,9,Olga Sotillo Val,3,Violeta Alexandra Wiksten,,,,,,,,,,
SUI,78,2,O,7,2,22,-3,SLOT,L,,,,Pass,Complete,1,1,6,R,3,,10,Monica Rafecas,4,Maria del Mar,,,,,,,,,,
SUI,79,2,O,7,3,16,-9,SLOT,L,,,,Pass,Complete,1,1,5,L,2,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
SUI,80,2,O,7,4,11,-14,ISO,R,,,,Pass,1st DN,1,1,13,R,3,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
SUI,81,2,O,7,1,23,23,DOBLE TIGHT,R,,,,Pass,Complete,1,1,7,L,1,,10,Monica Rafecas,3,Violeta Alexandra Wiksten,,,,,,,,,,
SUI,82,2,O,7,2,16,16,ISO,L,,,,Pass,"Complete, TD",1,1,16,L,7,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
SUI,83,2,K,7,0,5,5,BUNCH,L,,,,Extra Pt.,Good,1,1,5,R,2,,10,Monica Rafecas,3,Violeta Alexandra Wiksten,,,,,,,,,,
SUI,84,2,D,8,1,20,-5,SLOT,L,,,FLOOD,Pass,Incomplete,1,0,0,R,9,JAULA,,,,,,,,,,,7,Elvira Núñez Calzado,,
SUI,85,2,D,8,2,20,-5,SLOT,L,,,DOBLE POST,Pass,Complete,1,1,7,L,2,JAULA,,,,,,,,,6,Laia Girona,7,Elvira Núñez Calzado,,
SUI,86,2,D,8,3,13,-12,SLOT,L,,,FLOOD,Pass,Incomplete,1,0,0,L,7,JAULA,,,,,,,,,,,1,María Vidal,,
SUI,87,2,D,8,4,13,-12,SLOT,L,,,Z-CROSS,Pass,1st DN,1,1,14,L,4,JAULA,,,,,,,,,8,Ana Leal,1,María Vidal,,
SUI,88,2,D,8,1,24,24,SLOT,R,,,X-CROSS,Pass,Batted Down,1,0,0,L,7,LINE,,,,,,,13,Cris Gómez,,,7,Elvira Núñez Calzado,,
SUI,89,2,D,8,2,24,24,SLOT,L,,,,Pass,Penalty,,,10,R,9,LINE,,,,,,,,,,,7,Elvira Núñez Calzado,,
SUI,90,2,D,8,1,14,14,SLOT,L,,,Z-CROSS,Pass,Incomplete,1,0,0,L,1,LINE,,,,,,,,,,,7,Elvira Núñez Calzado,,
NZL,1,1,D,1,1,20,-5,SLOT,R,,,C-BACK,Pass,Complete,1,1,6,R,3,REGULAR,,,,,,,,,5,Estefanía Sastre Lois,1,María Vidal,,
NZL,2,1,D,1,2,14,-11,SLOT,L,,,,Pass,Complete,1,1,2,R,3,DALLAS,,,,,,,,,13,Cris Gómez,1,María Vidal,,
NZL,3,1,D,1,3,12,-13,BUNCH,R,,,,Pass,Complete,1,1,5,L,2,DALLAS,,,,,,,,,13,Cris Gómez,1,María Vidal,,
NZL,4,1,D,1,4,7,-18,ARROW,L,,,,Pass,1st DN,1,1,18,L,7,PARIS,,,,,,,,,8,Ana Leal,1,María Vidal,,
NZL,5,1,D,1,1,14,14,TRIPS,L,,,,Pass,Complete,1,1,4,R,3,DALLAS,,,,,,,,,13,Cris Gómez,1,María Vidal,,
NZL,6,1,D,1,2,10,10,SLOT,R,,,,Pass,"Complete, TD",1,1,10,L,8,DALLAS,,,,,,,,,,,1,María Vidal,,
NZL,7,1,K,1,0,5,5,ARROW,L,,,,Extra Pt. Block,No Good,1,0,0,L,4,GOAL LINE,,,,,,,,,,,1,María Vidal,,
NZL,8,1,O,1,1,20,-5,TIGHT,R,,,,Pass,"Complete, TD",1,1,45,R,9,,10,Monica Rafecas,4,Maria del Mar,,,,,,,,,,
NZL,9,1,K,1,0,5,5,SLOT,R,,,BREAD AND BUTTER,Extra Pt.,Good,1,1,5,R,3,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
NZL,10,1,D,2,1,20,-5,SLOT,R,,,,Pass,Incomplete,1,0,0,R,9,REGULAR,,,,,,,,,,,1,María Vidal,,
NZL,11,1,D,2,2,20,-5,BUNCH,R,,,,Pass,Complete,1,1,6,L,1,DALLAS,,,,,,,,,13,Cris Gómez,1,María Vidal,,
NZL,12,1,D,2,3,14,-11,SLOT,L,,,,Pass,Complete,1,1,5,L,1,DALLAS,,,,,,,,,8,Ana Leal,1,María Vidal,,
NZL,13,1,D,2,4,9,-16,BUNCH,L,,,,Pass,Incomplete,1,0,0,R,9,DALLAS,,,,,,,,,,,1,María Vidal,,
NZL,14,1,O,2,1,20,-5,TIGHT,R,,,,Pass,Complete,1,1,18,R,3,,10,Monica Rafecas,3,Violeta Alexandra Wiksten,,,,,,,,,,
NZL,15,1,O,2,2,2,-23,SLOT,L,,,X-MEDIO,Pass,1st DN,1,1,10,L,5,,10,Monica Rafecas,11,Emma García,,,,,,,,,,
NZL,16,1,O,2,1,17,17,SLOT,L,,,,Pass,Incomplete,1,0,0,R,9,,10,Monica Rafecas,,,,,,,,,,,,
NZL,17,1,O,2,2,17,17,SLOT,R,,,,Pass,"Complete, TD",1,1,17,L,7,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
NZL,18,1,K,2,0,5,5,SLOT,R,,,,Extra Pt.,Good,1,1,5,R,3,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
NZL,19,1,D,3,1,20,-5,TIGHT,R,,,,Pass,Complete,1,1,8,R,3,DALLAS,,,,,,,,,8,Ana Leal,7,Elvira Núñez Calzado,,
NZL,20,1,D,3,2,12,-13,TIGHT,R,,,,Pass,Complete,1,1,3,L,2,DALLAS,,,,,,,,,13,Cris Gómez,7,Elvira Núñez Calzado,,
NZL,21,1,D,3,3,9,-16,SLOT,R,,,,Pass,Complete,1,1,8,R,3,DALLAS,,,,,,,,,8,Ana Leal,1,María Vidal,,
NZL,22,1,D,3,4,1,-24,SLOT,L,,,,Pass,Batted Down,1,0,0,R,2,DALLAS,,,,,,,1,María Vidal,,,1,María Vidal,,
NZL,23,1,O,3,1,20,-5,TIGHT,R,,,,Pass,"Complete, TD",1,1,45,R,9,,10,Monica Rafecas,9,Olga Sotillo Val,,,,,,,,,,
