Frame,Estado
433,Desconocida
434,Desconocida
435,Desconocida
436,Desconocida
437,Desconocida
438,Desconocida
439,Desconocida
440,Desconocida
441,Desconocida
442,Desconocida
443,Desconocida
444,Desconocida
445,Desconocida
446,Desconocida
447,Desconocida
448,Desconocida
449,Desconocida
450,Desconocida
451,Desconocida
452,Desconocida
453,Desconocida
454,Desconocida
455,Desconocida
456,Desconocida
457,Desconocida
458,Desconocida
459,Desconocida
460,Desconocida
461,Desconocida
462,Desconocida
463,Desconocida
464,Desconocida
465,Desconocida
466,Desconocida
467,Desconocida
468,Desconocida
469,Desconocida
470,Desconocida
471,Desconocida
472,Desconocida
473,Desconocida
474,Desconocida
475,Desconocida
476,Desconocida
477,Desconocida
478,Desconocida
479,Desconocida
480,Desconocida
481,Desconocida
482,Desconocida
483,Desconocida
484,Desconocida
485,Desconocida
486,Desconocida
487,Desconocida
488,Desconocida
489,Desconocida
490,Desconocida
491,Desconocida
492,Desconocida
493,Desconocida
494,Desconocida
495,Desconocida
496,Desconocida
497,Desconocida
498,Desconocida
499,Desconocida
500,Desconocida
501,Desconocida
502,Desconocida
503,Desconocida
504,Desconocida
505,Desconocida
506,Desconocida
507,Desconocida
508,Desconocida
509,Desconocida
510,Desconocida
511,Desconocida
512,Desconocida
513,Desconocida
514,Desconocida
515,Desconocida
516,Desconocida
517,Desconocida
518,Desconocida
519,Desconocida
520,Desconocida
521,Desconocida
522,Desconocida
523,Desconocida
524,Desconocida
525,Desconocida
526,Desconocida
527,Desconocida
528,Desconocida
529,Desconocida
530,Desconocida
531,Desconocida
532,Desconocida
533,Desconocida
534,Desconocida
535,Desconocida
536,Desconocida
537,Desconocida
538,Desconocida
539,Encendida
540,Encendida
541,Encendida
542,Encendida
543,Encendida
544,Encendida
545,Encendida
546,Encendida
547,Encendida
548,Apagada
549,Apagada
550,Desconocida
551,Desconocida
552,Desconocida
553,Desconocida
554,Desconocida
555,Desconocida
556,Desconocida
557,Desconocida
558,Desconocida
559,Desconocida
560,Desconocida
561,Desconocida
562,Desconocida
563,Desconocida
564,Desconocida
565,Desconocida
566,Desconocida
567,Desconocida
568,Desconocida
569,Desconocida
570,Desconocida
571,Desconocida
572,Desconocida
573,Desconocida
574,Desconocida
575,Desconocida
576,Desconocida
577,Desconocida
578,Desconocida
579,Desconocida
580,Desconocida
581,Desconocida
582,Desconocida
583,Desconocida
584,Desconocida
585,Desconocida
586,Desconocida
587,Desconocida
588,Desconocida
589,Desconocida
590,Desconocida
591,Desconocida
592,Desconocida
593,Desconocida
594,Desconocida
595,Desconocida
596,Desconocida
597,Desconocida
598,Desconocida
599,Desconocida
600,Desconocida
601,Desconocida
602,Desconocida
603,Desconocida
604,Desconocida
605,Desconocida
606,Desconocida
607,Desconocida
608,Desconocida
609,Desconocida
610,Desconocida
611,Desconocida
612,Desconocida
613,Desconocida
614,Desconocida
615,Desconocida
616,Desconocida
617,Desconocida
618,Desconocida
619,Desconocida
620,Desconocida
621,Desconocida
622,Desconocida
623,Desconocida
624,Desconocida
625,Desconocida
626,Desconocida
627,Desconocida
628,Desconocida
629,Desconocida
630,Desconocida
631,Desconocida
632,Desconocida
633,Desconocida
634,Desconocida
635,Desconocida
636,Desconocida
637,Desconocida
638,Desconocida
639,Desconocida
640,Desconocida
641,Desconocida
642,Desconocida
643,Desconocida
644,Desconocida
645,Desconocida
646,Desconocida
647,Desconocida
648,Desconocida
649,Desconocida
650,Desconocida
651,Desconocida
652,Desconocida
653,Desconocida
654,Desconocida
655,Desconocida
656,Desconocida
657,Desconocida
658,Desconocida
659,Desconocida
660,Desconocida
661,Desconocida
662,Desconocida
663,Desconocida
664,Desconocida
665,Desconocida
666,Desconocida
667,Desconocida
668,Desconocida
669,Desconocida
670,Desconocida
671,Desconocida
672,Desconocida
673,Desconocida
674,Desconocida
675,Desconocida
676,Desconocida
677,Desconocida
678,Desconocida
679,Desconocida
680,Desconocida
681,Desconocida
682,Desconocida
683,Desconocida
684,Desconocida
